A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,Year,Race,Gender,Orientation,Transgender
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Second,Middle Eastern,Male,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,Fourth,White,Male,Homosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,First,"Asian, White",Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Fourth,White,Male,Heterosexual,No
I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,First,White,Male,Bisexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,Third,White,Female,Heterosexual,No
I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Third,White,Female,Heterosexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Fourth,Asian,Female,Bisexual,No
I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,I think it's not okay to lie here.,I think it's not okay to lie here.,I think it's okay to lie here.,Second,Hispanic or Latinx,Male,Heterosexual,No
